Sr. No.,Quantity,Reference,Value,PCB Footprint,Manufacturer Part Number / Generic Part Number,Manufacturer Name,Description
1,10,"C1, C3, C4, C5, C6, C7, C8, C9, C11, C12",0.1 µF,CAP 0201_0603,885012104003,Wurth Electronics,CAP CER 0.1UF 6.3V X5R 0201
2,2,"C2, C10",1 µF,CAP 0201_0603,885012104011,Wurth Electronics,CAP CER 1UF 6.3V X5R 0201
3,2,"C13, C14",15 pF,CAP 0201_0603,885012004006,Wurth Electronics,CAP CER 15PF 25V C0G/NP0 0201
4,1,C15,0.1 µF,CAP 0402_1005,GPC0402104-25,Generic,Multilayer Ceramic Capacitors MLCC - SMD/SMT WCAP-CSGP 0.1uF 0402 20% 25V MLCC
5,1,C16,10 µF,CAP 1206_3216 - 0.8MM,GPC1206106-50,Generic,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF+/-10% 50V X5R 3216
6,1,C17,47 µF,CAP 1210_3225 - 1MM,885012109011,Wurth Electronics,CAP CER 47UF 16V X5R 1210
7,1,C18,0.033 µF,CAP 0402_1005,885012205015,Wurth Electronics,CAP CER 0.033UF 10V X7R 0402
8,1,C19,0.1 µF,CAP 0201_0603,885012104001,Wurth Electronics,CAP CER 0.1UF 16V X5R 0201
9,2,"C20, C21",220 µF,CAP ALSMD 8.3MM H10.5MM,865080553014,Wurth Electronics,CAP ALUM 220UF 20% 35V SMD
10,1,C22,10 µF,CAP 0603_1608,885012106031,Wurth Electronics,CAP CER 10UF 25V X5R 0603
11,2,"C23, C24",22 µF,MURATA GRM188 0603_1608,GRM188R60J226MEA0D,Murata,CAP CER 22UF 6.3V X5R 0603
12,3,"C25, C26, C29",0.22 µF,CAP 0603_1608,885012206073,Wurth Electronics,CAP CER 0.22UF 25V X7R 0603
13,3,"C27, C28, C30",1 µF,MURATA GRM155 0402_1005,GRM155R61E105KA12D,Murata,CAP CER 1UF 25V X5R 0402
14,7,"C31, C32, C33, C34, C35, C36, C37",1000 pF,CAP 0201_0603,885012204006,Wurth Electronics,CAP CER 1000PF 25V X7R 0201
15,3,"C38, C39, C40",4.7 µF,CAP 1206_3216 - 0.8MM,885012208094,Wurth Electronics,CAP CER 4.7UF 50V X7R 1206
16,1,D1,19-337C/RSBHGHC-A88/4T,FP-19-337C-RSBHGHC-A88-4T-MFG,19-337C/RSBHGHC-A88/4T,Everlight,LED Tri-Color 468nm/518nm/632nm 6-Pin SMD-B T/R
17,2,"D2, D3",RB160VAM-60TR,RB160VAM-60TR-Footprint-1,RB160VAM-60TR,Rohm,DIODE SCHOTTKY 60V 1A TUMD2M
18,6,"D4, D5, D6, D7, D8, D9",1N5819HW1-7-F,SOD123F,1N5819HW1-7-F,Diodes,DIODE SBR 40V 1A SOD123F
19,1,IC1,W25Q128JVSIM,SOIC127P790X216-8N,W25Q128JVSIM,Winbond,128M-bit Serial Flash Memory with uniform 4KB sectors and Dual/Quad SPI
20,1,J2,DX07S016JA1R1500,FP-DX07S016JA1R1500-MFG,DX07S016JA1R1500,JAE Electronics,"USB Connector, 16 Contact(s), Female, Right Angle, Surface Mount Terminal, Locking, Receptacle"
21,1,L1,8.2 µH,SRP5020TA-8R2M-Footprint-1,SRP5020TA-8R2M,Bourns,Ind Chip Power Shielded Wirewound 8.2uH 20% 100KHz 21Q-Factor Metal 2.3A T/R
22,1,L2,3.9 µH,SDR0302-3R9ML-Footprint-1,SDR0302-3R9ML,Bourns,Inductor Power Wirewound 3.9uH 20% 1KHz 24Q-Factor Ferrite 1.3A 120mOhm DCR T/R
23,1,P1,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN)-Footprint-1,SM04B-SRSS-TB,JST,"Connector Header, Side Entry, SR Series, 4 Position, 1.00mm, 50V, Surface Mount, Tin, Natural"
24,2,"P2, P3",SM03B-SRSS-TB(LF)(SN),JST-SM03B-SRSS-TB_V,SM03B-SRSS-TB,JST,"Connector Header, Side Entry, SR Series, 3 Position, 1.00mm, 50V, Surface Mount, Tin, Natural"
25,6,"Q1, Q2, Q3, Q4, Q5, Q6",BSC027N06LS5ATMA1,FP-PG-TDSON-8-MFG,BSC027N06LS5ATMA1,Infineon,Transistor Mosfet N-ch 60V 100A 8-PIN Tdson T/r
26,3,"R1, R2, R5",27 Ohms,YAGEO RES 0201_0603,RC0201FR-0727RL,Yageo,RES 27 OHM 1% 1/20W 0201
27,1,R3,1 kOhms,YAGEO RES 0201_0603,RC0201FR-131KL,Yageo,RES 1K OHM 1% 1/20W 0201
28,1,R4,75 Ohms,YAGEO RES 0201_0603,RC0201FR0775RL,Yageo,RES 75 OHM 1% 1/20W 0201
29,1,R6,5.6 kOhms,YAGEO RES 0201_0603,RC0201FR-135K6L,Yageo,RES 5.6K OHM 1% 1/20W 0201
30,1,R7,5.6 Ohms,YAGEO RES 0201_0603,RC0201FR-075R6L,Yageo,RES 5.6 OHM 1% 1/20W 0201
31,8,"R8, R17, R28, R31, R32, R33, R34, R35",10 kOhms,YAGEO RES 0201_0603,GPR020110K,Generic,Thick Film Resistors - SMD Thick Film Resistors - SMD 10 kOhms 50mW 0201 1%
32,2,"R9, R10",5.1 kOhms,YAGEO RES 0201_0603,RC0201FR075K1L,Yageo,RES 5.1K OHM 1% 1/20W 0201
33,1,R11,68 kOhms,YAGEO RES 0402_1005,RC0402FR-0768KL,Yageo,RES 68K OHM 1% 1/16W 0402
34,1,R12,10 kOhms,YAGEO RES 0402_1005,GPR040210K,Generic,"SMD Chip Resistor, 10 kohm, ± 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose"
35,1,R13,309 kOhms,YAGEO RES 0201_0603,RC0201FR-07309KL,Yageo,RES 309K OHM 1% 1/20W 0201
36,1,R14,115 kOhms,YAGEO RES 0201_0603,RC0201FR-07115KL,Yageo,RES 115K OHM 1% 1/20W 0201
37,1,R15,38.3 kOhms,YAGEO RES 0201_0603,RC0201FR-0738K3L,Yageo,RES 38.3K OHM 1% 1/20W 0201
38,1,R16,9.09 kOhms,YAGEO RES 0201_0603,RC0201FR-079K09L,Yageo,RES 9.09K OHM 1% 1/20W 0201
39,6,"R18, R19, R20, R21, R22, R23",10 Ohms,YAGEO RES 0603_1608,GPR060310R,Generic,Thick Film Resistors - SMD Thick Film Resistors - SMD 10 OHM 1% 100PPM
40,6,"R24, R25, R26, R27, R29, R30",47 kOhms,YAGEO RES 0201_0603,RC0201FR-0747KL,Yageo,RES 47K OHM 1% 1/20W 0201
41,1,R36,1 kOhms,YAGEO RES 0201_0603,RC0201JR-071KP,Yageo,RES 1K OHM 5% 1/20W 0201
42,3,"S1, S2, S3",EVQ-PUC02K,PANASONIC EVQPUC,EVQ-PUC02K,Panasonic,SWITCH TACTILE SPST-NO 0.05A 12V
43,1,S4,KMR741NG ULC LFS,C&K KMR7,KMR741NGULCLFS,ITT C&K,SWITCH TACTILE SPST-NO 50MA 32V
44,1,U1,RP2040,QFN40P700X700X90-57N,SC0914(7),Raspberry Pi,"ARM Microcontrollers - MCU IC RP2040 (RP2B2) T&R, 500 (7"" reel)"
45,1,U2,TPS62932DRLR,FP-DRL0008A-MFG,TPS62932DRLR,Texas Instruments,"3.8-V to 30-V input, 2-A, 200-kHz to 2.2-MHz, low-IQ synchronous buck converter in SOT-583 package 8-SOT-5X3 -40 to 150"
46,1,U3,AP63203WU-7,FP-TSOT26-MFG,AP63203WU-7,Diodes,AP63203 Series 3.3 V 2 A SMT Fixed Low IQ Synchronous Buck - TSOT-26
47,3,"U4, U5, U6",2ED2732S01G,SON50P300X300X90-11N-1,2ED2732S01GXTMA1,Infineon,Half Bridge SOI Gate Driver with Integrated Bootstrap Diode
48,3,"U7, U8, U9",LMV321IDBVR,FP-DBV0005A-IPC_B,LMV321IDBVR,Texas Instruments,"Single, 5.5-V, 1-MHz, RRO operational amplifier 5-SOT-23 -40 to 125"
49,1,Y1,12MHz,ABRACON ABM8G,ABM8G-12.000MHZ-B4Y-T,Abracon,CRYSTAL 12.0000MHZ 10PF SMD
